Week Day,Date In,# 120 ltr Bins,Weight In (kg),Run time (hr),Date Ejected,Weight out (kg),Weight of Oversized (kg),Volume Out (ltr),Volume of Oversized (ltr),Volume In (ltr),Organics Density (kg/120 ltr),Mass Reduction,Volume Reduction,Weekly Weight In (kg),Weight Collected (kg),Est. CO2-e Produced if landfill (ton),Est. Energy Use (kWh),Est. CO2-e Produced by Dehydrator (ton),Total Monthly Weight In (kg),Total Monthly Weight Out (kg)
Monday,05/02/2016 12:00:00 AM,9,580.1,10,3-May,137.8,12.4,230,20,1080,64.46,74,77,1840.6,,0.928,406.1,0.548,,
Tuesday,05/03/2016 12:00:00 AM,9,608.2,12,5-May,165.9,35.3,240,50,1080,67.58,67,73,,,0.973,425.7,0.575,,
Wednesday,05/04/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Thursday,05/05/2016 12:00:00 AM,8,587.7,10,6-May,170,21.6,370,70,960,73.46,67,54,,,0.94,411.4,0.555,,
Friday,05/06/2016 12:00:00 AM,10,605.9,10,7-May,231.7,30,370,50,1200,60.59,57,65,,510.5,0.969,424.1,0.573,,
Saturday,05/07/2016 12:00:00 AM,10,606.2,11,8-May,218.2,31,220,45,1200,60.62,59,78,,,0.97,424.3,0.573,,
Sunday,05/08/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,05/09/2016 12:00:00 AM,10,598.1,12,11-May,190.9,38.3,340,70,1200,59.81,62,66,2988.1,,0.957,418.7,0.565,,
Tuesday,05/10/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Wednesday,05/11/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Thursday,05/12/2016 12:00:00 AM,10,613.3,11,13-May,176.7,19.6,320,40,1200,61.33,68,70,,,0.981,429.3,0.58,,
Friday,05/13/2016 12:00:00 AM,10,611.9,12,15-May,205.9,21.8,300,40,1200,61.19,63,72,,810.8,0.979,428.3,0.578,,
Saturday,05/14/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,05/15/2016 12:00:00 AM,10,626.2,11,17-May,189.4,37.5,350,30,1200,62.62,64,68,,,1.002,438.3,0.592,,
Monday,05/16/2016 12:00:00 AM,,,,,,,,,,,,,2449.5,,,,,,
Tuesday,05/17/2016 12:00:00 AM,10,590,11,18-May,171.8,19.8,330,40,1200,59,68,69,,,0.944,413,0.558,,
Wednesday,05/18/2016 12:00:00 AM,10,573.9,11,19-May,152,19,270,80,1200,57.39,70,71,,,0.918,401.7,0.542,,
Thursday,05/19/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,05/20/2016 12:00:00 AM,10,604.7,11,21-May,240.2,31.5,360,80,1200,60.47,55,63,,895.8,0.968,423.3,0.571,,
Saturday,05/21/2016 12:00:00 AM,10,600.6,11,22-May,161.1,44.1,220,60,1200,60.06,66,77,,,0.961,420.4,0.568,,
Sunday,05/22/2016 12:00:00 AM,8,610.8,11,24-May,190.8,55,300,70,960,76.35,60,61,,,0.977,427.6,0.577,,
Monday,05/23/2016 12:00:00 AM,,,,,,,,,,,,,2980,,,,,,
Tuesday,05/24/2016 12:00:00 AM,10,595.4,11,25-May,141.7,29.4,360,80,1200,59.54,71,63,,,0.953,416.8,0.563,,
Wednesday,05/25/2016 12:00:00 AM,11,618.7,10.5,27-May,196,27,380,40,1320,56.25,64,68,,,0.99,433.1,0.585,,
Thursday,05/26/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,05/27/2016 12:00:00 AM,10,583,10.5,28-May,208.6,26.8,280,30,1200,58.3,60,74,,929.8,0.933,408.1,0.551,,
Saturday,05/28/2016 12:00:00 AM,10,594.8,10.5,30-May,100.1,66.7,290,50,1200,59.48,72,72,,,0.952,416.4,0.562,,
Sunday,05/29/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,05/30/2016 12:00:00 AM,11,593.7,10.5,1-Jun,193.7,23.9,350,20,1320,53.97,63,72,2391.9,,0.95,415.6,0.561,,
Tuesday,05/31/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,11403.2,3442.5
Wednesday,06/01/2016 12:00:00 AM,9,596.9,10.5,2-Jun,170.1,55.7,250,110,1080,66.32,62,67,,,0.955,417.8,0.564,,
Thursday,06/02/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,06/03/2016 12:00:00 AM,9,518.5,10,4-Jun,148,21.7,290,90,1080,57.61,67,65,,672.5,0.83,363,0.49,,
Saturday,06/04/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,06/05/2016 12:00:00 AM,9,597.2,11,7-Jun,164.5,13.7,240,20,1080,66.36,70,76,,,0.956,418,0.564,,
Monday,06/06/2016 12:00:00 AM,,,,,,,,,,,,,2306.3,,,,,,
Tuesday,06/07/2016 12:00:00 AM,10,601.4,11,8-Jun,194.5,47.6,280,60,1200,60.14,60,72,,,0.962,421,0.568,,
Wednesday,06/08/2016 12:00:00 AM,9,593.3,10.5,9-Jun,186.8,27.8,360,50,1080,65.92,64,62,,,0.949,415.3,0.561,,
Thursday,06/09/2016 12:00:00 AM,10,589.8,10.5,10-Jun,208.4,24.9,340,50,1200,58.98,60,68,,,0.944,412.9,0.557,,
Friday,06/10/2016 12:00:00 AM,,,,,,,,,,,,,,693.8,,,,,
Saturday,06/11/2016 12:00:00 AM,9,615.3,10.5,12-Jun,225.5,21,370,60,1080,68.37,60,60,,,0.984,430.7,0.581,,
Sunday,06/12/2016 12:00:00 AM,10,618.3,10.5,14-Jun,235.5,27.5,360,120,1200,61.83,57,60,,,0.989,432.8,0.584,,
Monday,06/13/2016 12:00:00 AM,,,,,,,,,,,,,3018.1,,,,,,
Tuesday,06/14/2016 12:00:00 AM,11,625,10.5,15-Jun,220.1,18.9,390,40,1320,56.82,62,67,,,1,437.5,0.591,,
Wednesday,06/15/2016 12:00:00 AM,11,610.5,10.5,16-Jun,184.4,52.9,320,80,1320,55.5,61,70,,,0.977,427.4,0.577,,
Thursday,06/16/2016 12:00:00 AM,9,605.1,10.5,18-Jun,209.8,30,310,60,1080,67.23,60,66,,,0.968,423.6,0.572,,
Friday,06/17/2016 12:00:00 AM,11,611.6,10.5,20-Jun,197.3,14.3,340,10,1320,55.6,65,73,,1073.9,0.979,428.1,0.578,,
Saturday,06/18/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,06/19/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,06/20/2016 12:00:00 AM,10,609.1,10.5,21-Jun,199.9,30.4,300,20,1200,60.91,62,73,2452.2,,0.975,426.4,0.576,,
Tuesday,06/21/2016 12:00:00 AM,10,618.5,10.5,22-Jun,179.9,19.9,310,20,1200,61.85,68,73,,,0.99,433,0.584,,
Wednesday,06/22/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Thursday,06/23/2016 12:00:00 AM,11,625.9,10.5,25-Jun,203.6,23.4,320,60,1320,56.9,64,71,,,1.001,438.1,0.591,,
Friday,06/24/2016 12:00:00 AM,,,,,,,,,,,,,,786.9,,,,,
Saturday,06/25/2016 12:00:00 AM,10,617,10.5,26-Jun,242.5,80.4,390,60,1200,61.7,48,63,,,0.987,431.9,0.583,,
Sunday,06/26/2016 12:00:00 AM,11,629,10.5,27-Jun,229.6,28.8,390,60,1320,57.18,59,66,,,1.006,440.3,0.594,,
Monday,06/27/2016 12:00:00 AM,,,,,,,,,,,,,3099.5,,,,,,
Tuesday,06/28/2016 12:00:00 AM,10,575.8,10.5,29-Jun,189.7,24.7,400,30,1200,57.58,63,64,,,0.921,403.1,0.544,,
Wednesday,06/29/2016 12:00:00 AM,9,584.4,10.5,30-Jun,154.8,23.1,260,70,1080,64.93,70,69,,,0.935,409.1,0.552,,
Thursday,06/30/2016 12:00:00 AM,10,613.9,10.5,2-Jul,235.6,18.3,450,50,1200,61.39,59,58,,,0.982,429.7,0.58,12056.5,3980.5
Friday,07/01/2016 12:00:00 AM,,,,,,,,,,,,,,1020.2,,,,,
Saturday,07/02/2016 12:00:00 AM,10,604.9,10.5,3-Jul,222.5,14.7,320,50,1200,60.49,61,69,,,0.968,423.4,0.572,,
Sunday,07/03/2016 12:00:00 AM,10,581.4,10.5,4-Jul,200.2,17.3,420,40,1200,58.14,63,62,,,0.93,407,0.549,,
Monday,07/04/2016 12:00:00 AM,,,,,,,,,,,,,2960.4,,,,,,
Tuesday,07/05/2016 12:00:00 AM,10,600.7,10.5,6-Jul,194.9,18,370,30,1200,60.07,65,67,,,0.961,420.5,0.568,,
Wednesday,07/06/2016 12:00:00 AM,10,601.8,10.5,8-Jul,202.1,20.2,360,50,1200,60.18,63,66,,,0.963,421.3,0.569,,
Thursday,07/07/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,07/08/2016 12:00:00 AM,9,597.5,10.5,9-Jul,216.7,31.2,320,60,1080,66.39,59,65,,1055.3,0.956,418.3,0.565,,
Saturday,07/09/2016 12:00:00 AM,9,559,10.5,10-Jul,231.7,24,380,50,1080,62.11,54,60,,,0.894,391.3,0.528,,
